City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,berezovo,63.9381,65.0419,38.97,71,100,7.0,RU,2023-10-04 03:48:16
167,dudley park,-34.8801,138.5794,63.61,51,40,20.71,AU,2023-10-04 03:48:16
168,selma,36.5708,-119.6121,73.13,60,0,0.0,US,2023-10-04 03:47:37
169,touros,-5.1989,-35.4608,77.94,67,51,13.15,BR,2023-10-04 03:48:16
170,serenje,-13.2325,30.2352,57.99,82,31,7.58,ZM,2023-10-04 03:48:16
171,iquique,-20.2208,-70.1431,64.44,82,30,7.23,CL,2023-10-04 03:48:16
172,bayji,34.9311,43.487,76.35,48,100,3.76,IQ,2023-10-04 03:48:16
173,tura,25.5198,90.2201,75.47,90,99,4.52,IN,2023-10-04 03:48:16
174,praia da vitoria,38.7333,-27.0667,71.85,100,75,11.16,PT,2023-10-04 03:48:17
175,constantia,44.1833,28.65,50.7,75,0,8.7,RO,2023-10-04 03:44:06
176,quang ngai,15.1167,108.8,87.21,73,43,6.53,VN,2023-10-04 03:48:17
177,zarzis,33.504,11.1122,73.8,64,0,8.34,TN,2023-10-04 03:48:17
178,okhotsk,59.3833,143.3,44.13,59,100,4.14,RU,2023-10-04 03:48:17
179,sur,22.5667,59.5289,90.68,38,0,0.4,OM,2023-10-04 03:48:17
180,deridder,30.8463,-93.289,80.56,78,84,5.35,US,2023-10-04 03:48:17
181,trairi,-3.2778,-39.2689,77.77,76,7,11.77,BR,2023-10-04 03:44:14
182,huarmey,-10.0681,-78.1522,66.2,90,99,9.26,PE,2023-10-04 03:48:17
183,uturoa,-16.7333,-151.4333,78.87,79,6,21.23,PF,2023-10-04 03:48:17
184,antofagasta,-23.65,-70.4,60.08,74,26,10.56,CL,2023-10-04 03:48:17
185,san juan,-31.5375,-68.5364,53.51,65,80,6.38,AR,2023-10-04 03:47:53
186,begoro,6.3871,-0.3774,68.94,97,100,2.53,GH,2023-10-04 03:48:18
187,kapuskasing,49.4169,-82.4331,66.29,72,40,6.91,CA,2023-10-04 03:48:18
188,nemuro,43.3236,145.575,60.3,65,100,7.18,JP,2023-10-04 03:48:18
189,palang,23.2167,90.35,81.81,88,100,17.34,BD,2023-10-04 03:48:18
190,inskoy,54.4297,86.44,48.51,61,67,3.0,RU,2023-10-04 03:48:18
191,sitka,57.0531,-135.33,49.89,81,100,4.61,US,2023-10-04 03:44:22
192,tarnogskiy gorodok,60.4997,43.5761,48.87,96,100,8.77,RU,2023-10-04 03:48:18
193,tolmezzo,46.4075,13.0175,60.42,94,96,5.57,IT,2023-10-04 03:48:18
194,williamson,30.6502,-97.6003,78.51,85,100,9.22,US,2023-10-04 03:48:18
195,pudozh,61.8099,36.5345,48.94,86,100,10.0,RU,2023-10-04 03:48:19
196,saint-joseph,-21.3667,55.6167,76.48,84,84,13.91,RE,2023-10-04 03:48:19
197,sola,-13.8833,167.55,83.07,70,100,6.91,VU,2023-10-04 03:48:19
198,popondetta,-8.7537,148.2534,89.53,57,77,5.37,PG,2023-10-04 03:48:19
199,jinchang,38.4953,102.1739,61.07,46,100,11.88,CN,2023-10-04 03:48:19
200,boston,42.3584,-71.0598,69.13,86,13,13.0,US,2023-10-04 03:44:13
201,dudinka,69.4058,86.1778,33.62,86,41,18.99,RU,2023-10-04 03:48:19
202,kharp,66.8014,65.8081,35.71,74,100,3.78,RU,2023-10-04 03:48:19
203,kenora,49.8167,-94.4337,67.17,82,75,9.22,CA,2023-10-04 03:44:41
204,ratnagiri,16.9833,73.3,80.19,80,96,2.24,IN,2023-10-04 03:48:19
205,chonchi,-42.6128,-73.8092,42.12,94,98,1.1,CL,2023-10-04 03:48:20
206,enewetak,11.3474,162.3373,84.96,76,27,18.99,MH,2023-10-04 03:48:20
207,xinmin,41.9908,122.8253,65.79,19,1,16.93,CN,2023-10-04 03:48:20
208,hadibu,12.65,54.0333,79.93,79,28,2.95,YE,2023-10-04 03:48:20
209,st. john's,47.5649,-52.7093,50.97,94,100,14.97,CA,2023-10-04 03:45:17
210,liuduzhai,27.3661,110.935,80.35,66,82,2.86,CN,2023-10-04 03:48:20
211,shahr-e kord,32.3256,50.8644,47.97,57,0,6.91,IR,2023-10-04 03:48:20
212,kalifornsky,60.4183,-151.29,46.71,44,0,3.44,US,2023-10-04 03:48:20
213,bowen,-20.0167,148.2333,76.6,73,7,10.27,AU,2023-10-04 03:48:20
214,pandan,14.0453,124.1694,88.84,63,100,10.29,PH,2023-10-04 03:48:20
215,midoun,33.8081,10.9923,69.66,62,0,7.72,TN,2023-10-04 03:48:20
216,alofi,-19.0595,-169.9187,73.29,94,100,13.8,NU,2023-10-04 03:48:20
217,itaituba,-4.2761,-55.9836,86.16,74,67,2.73,BR,2023-10-04 03:48:21
218,kourou,5.1552,-52.6478,77.05,86,76,7.09,GF,2023-10-04 03:48:21
219,dryden,49.7833,-92.7503,66.49,88,100,8.05,CA,2023-10-04 03:48:21
220,afaahiti,-17.75,-149.2833,80.47,85,36,20.11,PF,2023-10-04 03:48:21
221,nurota,40.5614,65.6886,69.28,22,7,6.46,UZ,2023-10-04 03:48:21
222,mount horeb,43.0086,-89.7385,73.53,66,100,1.01,US,2023-10-04 03:48:21
223,maile,-38.9466,-72.3727,39.81,96,3,1.86,CL,2023-10-04 03:48:21
224,juneau,58.3019,-134.4197,49.21,97,75,5.75,US,2023-10-04 03:45:56
225,perry,37.2506,-83.1999,72.32,71,0,2.64,US,2023-10-04 03:45:29
226,jaca,42.569,-0.5499,57.99,90,14,1.48,ES,2023-10-04 03:48:21
227,pizarro,4.9533,-77.366,75.96,97,100,4.99,CO,2023-10-04 03:48:21
228,jacobina,-11.1806,-40.5183,69.51,74,1,3.87,BR,2023-10-04 03:48:22
229,banda aceh,5.5577,95.3222,82.38,76,100,2.89,ID,2023-10-04 03:48:22
230,la passe,45.5549,-0.8967,52.99,76,16,6.98,FR,2023-10-04 03:48:22
231,greymouth,-42.4667,171.2,51.37,78,98,2.82,NZ,2023-10-04 03:48:22
232,whitehorse,60.7161,-135.0538,36.37,77,40,2.3,CA,2023-10-04 03:43:37
233,nuuk,64.1835,-51.7216,39.81,75,100,5.01,GL,2023-10-04 03:48:22
234,badger,64.8,-147.5333,33.67,89,75,11.5,US,2023-10-04 03:48:22
235,upper dir,35.2058,71.8756,71.98,28,0,2.59,PK,2023-10-04 03:48:22
